# source: https://versionhistory.googleapis.com/v1/chrome/platforms/win/channels/stable/versions?pageSize=1000
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
132.0.6834.159|2025-01-28
132.0.6834.160|2025-01-28
132.0.6834.161|2025-01-29
132.0.6834.162|2025-02-04
132.0.6834.196|2025-02-06
132.0.6834.197|2025-02-12
133.0.6943.35|2025-01-29
133.0.6943.53|2025-02-04
133.0.6943.54|2025-02-04
133.0.6943.59|2025-02-06
133.0.6943.60|2025-02-06
133.0.6943.98|2025-02-12
133.0.6943.99|2025-02-12
133.0.6943.100|2025-02-18
133.0.6943.126|2025-02-18
133.0.6943.127|2025-02-18
133.0.6943.128|2025-02-25
133.0.6943.141|2025-02-25
133.0.6943.142|2025-02-25
133.0.6943.143|2025-02-26
134.0.6998.35|2025-02-26
134.0.6998.36|2025-03-04
134.0.6998.37|2025-03-10
134.0.6998.88|2025-03-10
134.0.6998.89|2025-03-10
134.0.6998.90|2025-03-19
134.0.6998.117|2025-03-19
134.0.6998.118|2025-03-19
134.0.6998.119|2025-03-21
134.0.6998.165|2025-03-21
134.0.6998.166|2025-03-21
134.0.6998.167|2025-03-25
134.0.6998.177|2025-03-25
134.0.6998.178|2025-03-25
134.0.6998.179|2025-03-26
135.0.7049.41|2025-03-26
135.0.7049.42|2025-04-01
135.0.7049.43|2025-04-08
135.0.7049.84|2025-04-08
135.0.7049.85|2025-04-08
135.0.7049.86|2025-04-15
135.0.7049.95|2025-04-15
135.0.7049.96|2025-04-15
135.0.7049.97|2025-04-22
135.0.7049.114|2025-04-22
135.0.7049.115|2025-04-22
135.0.7049.116|2025-04-23
135.0.7049.117|2025-05-06
136.0.7103.48|2025-04-23
136.0.7103.49|2025-04-29
136.0.7103.92|2025-05-06
136.0.7103.93|2025-05-06
136.0.7103.94|2025-05-14
136.0.7103.113|2025-05-14
136.0.7103.114|2025-05-14
136.0.7103.115|2025-05-21
136.0.7103.116|2025-05-27
