# source: https://get.geo.opera.com/pub/opera/desktop/
# fetched: 2026-09-23
# version|YYYY-MM-DD  (date omitted when the source has no day)
85.0.4341.28|2023-09-18
85.0.4341.39|2023-09-18
85.0.4341.47|2023-09-18
85.0.4341.60|2023-09-18
85.0.4341.75|2023-09-18
86.0.4363.23|2023-09-18
86.0.4363.32|2023-09-18
86.0.4363.50|2023-09-18
86.0.4363.59|2023-09-18
87.0.4390.25|2023-09-18
87.0.4390.36|2023-09-18
87.0.4390.45|2023-09-18
88.0.4412.27|2023-09-18
88.0.4412.40|2023-09-18
88.0.4412.53|2023-09-18
88.0.4412.74|2023-09-18
89.0.4447.38|2023-09-18
89.0.4447.48|2023-09-18
89.0.4447.51|2023-09-18
89.0.4447.56|2022-08-03
89.0.4447.62|2022-08-03
89.0.4447.63|2022-08-03
89.0.4447.71|2023-09-18
89.0.4447.83|2023-09-18
89.0.4447.91|2023-09-18
89.0.4447.101|2023-09-18
90.0.4480.48|2023-09-18
90.0.4480.54|2023-09-18
90.0.4480.80|2023-09-18
90.0.4480.84|2023-09-18
90.0.4480.107|2023-09-18
91.0.4516.16|2023-09-18
91.0.4516.20|2023-09-18
91.0.4516.65|2023-09-18
91.0.4516.70|2022-10-14
91.0.4516.77|2023-09-18
91.0.4516.80|2022-10-14
92.0.4561.21|2023-09-18
92.0.4561.30|2023-09-18
92.0.4561.33|2023-09-18
92.0.4561.43|2023-09-18
92.0.4561.47|2022-11-09
92.0.4561.50|2022-11-09
92.0.4561.61|2023-09-18
93.0.4585.11|2023-09-18
93.0.4585.21|2023-09-18
93.0.4585.37|2023-09-18
93.0.4585.39|2023-09-18
93.0.4585.64|2023-09-18
93.0.4585.70|2023-09-18
94.0.4606.26|2023-09-18
94.0.4606.38|2023-09-18
94.0.4606.54|2023-09-18
94.0.4606.65|2023-09-18
94.0.4606.76|2023-09-18
95.0.4635.25|2023-09-18
95.0.4635.37|2023-09-18
95.0.4635.46|2023-09-18
95.0.4635.80|2023-03-15
95.0.4635.84|2023-04-27
95.0.4635.90|2023-10-30
96.0.4693.20|2023-09-18
96.0.4693.31|2023-09-18
96.0.4693.50|2023-09-18
96.0.4693.80|2023-09-18
97.0.4719.26|2023-09-18
97.0.4719.28|2023-09-18
97.0.4719.43|2023-09-18
97.0.4719.63|2023-09-18
97.0.4719.83|2023-09-18
98.0.4759.6|2023-09-18
98.0.4759.15|2023-09-18
98.0.4759.39|2023-09-18
99.0.4788.9|2023-09-18
99.0.4788.13|2023-09-18
99.0.4788.31|2023-05-25
99.0.4788.47|2023-06-02
99.0.4788.65|2023-06-07
99.0.4788.77|2023-06-15
99.0.4788.88|2023-06-27
100.0.4815.20|2023-06-20
100.0.4815.21|2023-06-20
100.0.4815.30|2023-06-29
